year,median_age,number_of_births,total_deaths,population_private_household,isced_edu,economically_active_people,road_accident_death_per_10000,gdp,bdr,median_age_zscore,number_of_births_zscore,total_deaths_zscore,population_private_household_zscore,isced_edu_zscore,economically_active_people_zscore,gdp_zscore
2016,37.8,6410,808.0,625100,56046,304903,0.13,52397,7.933168316831683,-0.8728961568429573,-0.05344334440992759,2.1132835676422252,0.3056829756448584,0.6839052666950081,-2.060944092960479,-1.858147529775475
2017,36.2,6970,749.0,625100,62728,315662,0.16,54898,9.30574098798398,-1.9472298883419743,1.481339879670044,0.31019274347893777,0.3056829756448584,2.315530156746436,-0.8964875731353641,-0.70392976856333
2018,37.0,6719,765.0,629000,57130,318951,0.06,58227,8.783006535947713,-1.4100630225924657,0.7934281131627711,0.7991665263028802,0.3518014903456301,0.9485986789691397,-0.5405160614981485,0.8324120655331239
2019,39.0,6618,716.0,631600,47763,321386,0.11,57071,9.243016759776536,-0.06714585821868975,0.5166189959626334,-0.6983156835954435,0.3825471668128112,-1.3386551889015166,-0.27697375963234727,0.2989151715062387
2020,39.8,6618,741.0,631900,53355,326178,0.11,53821,8.931174089068826,0.47002100753081877,0.5166189959626334,0.06570585206696657,0.3860947448667167,0.026811196187915522,0.24166883196556616,-1.2009679648150213
2021,39.7,6455,766.0,345700,51902,319371,0.08,56346,8.426892950391645,0.40287514931213375,0.069887450382213,0.8297273877293766,-2.998294718559143,-0.3279854163898643,-0.4950590730859774,-0.035674143519273165
2022,39.9,6748,734.5,621900,51578,337000,0.03,59565,9.18720217835262,0.5371668657495086,0.8729079586954839,-0.13293974720526003,0.26784214306986626,-0.40710042153453097,1.4129439000525066,1.4499024151939996
2023,40.6,5919,703.0,627400,50650,332000,0.11,57302,8.419630156472262,1.007187873280332,-1.3991193498086172,-1.0956068821398968,0.332881074058134,-0.6337014239241935,0.8717892760980895,0.40552224981091906
2024,40.5,5919,703.0,627400,50650,332000,0.11,55604,8.419630156472262,0.9400420150616423,-1.3991193498086172,-1.0956068821398968,0.332881074058134,-0.6337014239241935,0.8717892760980895,-0.3781090011040039
2025,40.5,5919,703.0,627400,50650,332000,0.11,59002,8.419630156472262,0.9400420150616423,-1.3991193498086172,-1.0956068821398968,0.332881074058134,-0.6337014239241935,0.8717892760980895,1.1900765057328089
