year,median_age,number_of_births,total_deaths,population_private_household,isced_edu,economically_active_people,road_accident_death_per_10000,gdp,population,bdr,death_per_100k,edu_per_100k,active_per_100k,gdp_pc,gdp_pc_zscore,active_per_100k_zscore,edu_per_100k_zscore,population_zscore,death_per_100k_zscore,death_per_100k_zscore_good,PI,gdp_pc_tplus2,g2_gdp_pc,edu_pc_tplus2,g2_edu_pc,active_pc_tplus2,g2_active_pc
2016,37.8,6410,808.0,625100,56046,304903,0.13,52397,625000,7.933168316831683,129.28,8967.36,48784.48,0.0838352,-1.7123881480050167,-2.027247825578233,0.7974987250419753,-2.033703926738457,2.1631891351968178,-2.1631891351968178,-1.3212572706622665,0.09242380952380952,0.10244634143903182,9068.253968253968,0.011251245433881054,50627.14285714286,0.03777149735208531
2017,36.2,6970,749.0,625100,62728,315662,0.16,54898,628000,9.30574098798398,119.26751592356688,9988.535031847134,50264.64968152866,0.0874171974522293,-0.5715107698864953,-0.7945375500995616,2.2916136135762066,-1.209229361844488,0.4192859869911274,-0.4192859869911274,-0.11841444744302075,0.09044532488114104,0.034639950915453674,7569.413629160063,-0.24218981011469848,50932.805071315364,0.013292749358049144
2018,37.0,6719,765.0,629000,57130,318951,0.06,58227,630000,8.783006535947713,121.42857142857142,9068.253968253968,50627.14285714286,0.09242380952380952,1.0231108147620627,-0.49264711959902857,0.9451200195607776,-0.6595796519151753,0.7956832396464563,-0.7956832396464563,0.46030412546380906,0.08502527646129542,-0.08005007692966984,8428.909952606635,-0.07050354102184843,51528.90995260664,0.017811929423083205
2019,39.0,6618,716.0,631600,47763,321386,0.11,57071,631000,9.243016759776536,113.47068145800317,7569.413629160063,50932.805071315364,0.09044532488114104,0.3929572756045821,-0.23808647230427382,-1.2478827432713024,-0.3847547969505189,-0.5903653439825839,0.5903653439825839,-0.17074287240331887,0.08887381703470032,-0.017375224739431518,8186.435331230284,0.08151512551688747,50373.974763406935,-0.010971913035733315
2020,39.8,6618,741.0,631900,53355,326178,0.11,53821,633000,8.931174089068826,117.06161137440758,8428.909952606635,51528.90995260664,0.08502527646129542,-1.3333450774751137,0.2583597268043691,0.009674691499777802,0.16489491297879383,0.03507724732633675,-0.03507724732633675,-0.5169909235648739,0.09380314960629921,0.1032383958080935,8122.5196850393695,-0.03634992772375202,53070.86614173229,0.029924098734940226
2021,39.7,6455,766.0,345700,51902,319371,0.08,56346,634000,8.426892950391645,120.82018927444796,8186.435331230284,50373.974763406935,0.08887381703470032,-0.10757288262435365,-0.7034897780227025,-0.3450979288558084,0.4397197679434502,0.6897195701126094,-0.6897195701126094,-0.24932785066345145,0.09023937007874015,0.015365077022703545,7976.377952755906,-0.025659199636383044,52283.46456692914,0.037906276256550506
2022,39.9,6748,734.5,621900,51578,337000,0.03,59565,635000,9.18720217835262,115.66929133858268,8122.5196850393695,53070.86614173229,0.09380314960629921,1.4624349398714305,1.5425268479077192,-0.43861502005553415,0.7145446229081066,-0.20742713772431856,0.20742713772431856,1.0274588931987774,0.08742767295597484,-0.06796655205164064,7963.836477987421,-0.01953620467602221,52201.25786163522,-0.016385794001829043
2023,40.6,5919,703.0,627400,50650,332000,0.11,57302,635000,8.419630156472262,110.70866141732283,7976.377952755906,52283.46456692914,0.09023937007874015,0.327360027670246,0.8867655360117132,-0.6524398113314658,0.7145446229081066,-1.0714343182331345,1.0714343182331345,0.3099698964790565,0.09262480376766091,0.02643451175290012,7951.334379905808,-0.0031397174254318215,52119.309262166404,-0.003139717425431896
2024,40.5,5919,703.0,627400,50650,332000,0.11,55604,636000,8.419630156472262,110.53459119496854,7963.836477987421,52201.25786163522,0.08742767295597484,-0.5681742892197529,0.8183024053357693,-0.6707896569420423,0.989369477872763,-1.1017526294988689,1.1017526294988689,-0.08632381241607864,,,,,,
2025,40.5,5919,703.0,627400,50650,332000,0.11,59002,637000,8.419630156472262,110.36106750392464,7951.334379905808,52119.309262166404,0.09262480376766091,1.0871281093023977,0.7500542295442167,-0.6890818892225988,1.2641943328374192,-1.1319757498344094,1.1319757498344094,0.6653242620113552,,,,,,
